Latitude,Longitude,Timestamp
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.092000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.3441002,73.1642597,2024-08-30 00:39:50.093000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
22.344058,73.1643355,2024-08-30 00:39:50.157000+00:00
